id,lat,lng
b299018400,40.420244581818174,-86.89465317272726
b300133936,40.428625620000005,-86.90021727999999
b300547969,40.42613979545455,-86.90998749545454
b301606214,40.431577499999996,-86.91351748000001
b301831856,40.421606227272726,-86.91342138181818
b301831857,40.42130725,-86.91349528333335
b301831858,40.420778999999996,-86.91247104285715
b301831859,40.42171388,-86.91264466
b301831860,40.42144172222223,-86.91257242222223
b301831861,40.42136131428571,-86.91181644285713
b301832118,40.42006198947368,-86.9155032157895
b301832119,40.41886776923077,-86.91607409999999
b301832121,40.41867731904762,-86.91519748095239
b301832122,40.4187011,-86.91455826
b301832273,40.418181700000005,-86.91603491176471
b301832274,40.41798861111111,-86.9151492
b301832275,40.41757802,-86.9142552
b301832276,40.41846456,-86.91427819333332
b301832277,40.417928566666674,-86.91242245555557
b301832278,40.41724882,-86.91342622000002
b301832279,40.41433446,-86.91432494
b301832280,40.41420084,-86.9135882
b301832281,40.41393264,-86.91437508
b301832282,40.4160089,-86.91123466
b301832283,40.41544052,-86.91111798
b301832284,40.41565235,-86.91169767500001
b301832285,40.41532704000001,-86.9116968
b301832477,40.41711069767441,-86.91245924651163
b301832478,40.41722836923077,-86.91180912307694
b301832482,40.419497199999995,-86.91093312000001
b301832484,40.419595040000004,-86.9105385
b301832485,40.4200956,-86.91196624
b301832486,40.42006384,-86.91171994
b301832487,40.42007764444444,-86.91123918888889
b301832488,40.42007245555555,-86.91094854444445
b301832489,40.4200565625,-86.91055652500002
b301836115,40.420641020000005,-86.91188566
b301836117,40.42057046,-86.91147922
b301836120,40.420555560000004,-86.91111837999999
b301836567,40.42546942727272,-86.91876680909091
b301836568,40.425940358823524,-86.91874631764706
b301836569,40.426000152,-86.91822821199999
b301836571,40.42695395,-86.9183189625
b301836572,40.42684168571429,-86.91831401428571
b301836574,40.426541218749996,-86.91830414999997
b301837281,40.43110553636364,-86.91875629090909
b301837282,40.43110838,-86.91838676
b301837711,40.42728706,-86.91406753999999
b301838016,40.425241182352956,-86.90903529411766
b301838017,40.425584300000004,-86.90894324000001
b301838018,40.424957255555555,-86.90893805555555
b301838019,40.425520639999995,-86.90824828
b301838020,40.425610719999995,-86.90848438
b301838021,40.425552585714286,-86.90775645714287
b301838022,40.42548695,-86.9071343
b301838025,40.424811639999994,-86.91759302
b301838026,40.424406483333335,-86.91753275
b301838781,40.424618790000004,-86.918764285
b301838782,40.42487478,-86.91842252
b301840194,40.433472162499996,-86.9189694625
b301840865,40.43017268,-86.91954302
b301840866,40.43002062000001,-86.91954765999999
